fold,row_index,date,actual,predicted,prob_up,next_day_return,signal,position_change,transaction_cost,strategy_return,equity_curve,buy_hold_curve,benchmark_return,drawdown
2,128,2022-07-08,0,0,0.445895783846882,-0.00028356592763323363,0,1.0,0.001,-0.001,0.9326577780787566,0.972322179439089,-0.00028356592763323363,-0.0673422219212434
2,129,2022-07-11,0,0,0.3252954231028501,-0.0097249750439381,0,0.0,0.0,-0.0,0.9326577780787566,0.9628663705093764,-0.0097249750439381,-0.0673422219212434
2,130,2022-07-12,0,0,0.298094567965659,-0.005707292501522909,0,0.0,0.0,-0.0,0.9326577780787566,0.9573710104929997,-0.005707292501522909,-0.0673422219212434
2,131,2022-07-13,0,0,0.3192403154536204,-0.0017536552323109689,0,0.0,0.0,-0.0,0.9326577780787566,0.9556921118111857,-0.0017536552323109689,-0.0673422219212434
2,132,2022-07-14,1,0,0.1594267323356338,0.0069359576863876615,0,0.0,0.0,0.0,0.9326577780787566,0.9623207518599226,0.0069359576863876615,-0.0673422219212434
2,133,2022-07-15,1,0,0.0794135885353995,0.014287304158276504,0,0.0,0.0,0.0,0.9326577780787566,0.9760697211395667,0.014287304158276504,-0.0673422219212434
2,134,2022-07-18,1,0,0.0934889454818632,0.003811764271124396,0,0.0,0.0,0.0,0.9326577780787566,0.9797902688287329,0.003811764271124396,-0.0673422219212434
2,135,2022-07-19,1,0,0.0992804616115706,0.01103388850696918,0,0.0,0.0,0.0,0.9326577780787566,0.9906011654152025,0.01103388850696918,-0.0673422219212434
2,136,2022-07-20,1,0,0.0848950106265285,0.005108719746296009,0,0.0,0.0,0.0,0.9326577780787566,0.9956618691496629,0.005108719746296009,-0.0673422219212434
2,137,2022-07-21,1,0,0.0872438881391926,0.006877295960614926,0,0.0,0.0,0.0,0.9326577780787566,1.0025093305005042,0.006877295960614926,-0.0673422219212434
2,138,2022-07-22,0,0,0.1350865669010002,-0.005290199311757782,0,0.0,0.0,-0.0,0.9326577780787566,0.9972058563302596,-0.005290199311757782,-0.0673422219212434
2,139,2022-07-25,0,0,0.082963736350146,-0.00884795806776506,0,0.0,0.0,-0.0,0.9326577780787566,0.9883826207285197,-0.00884795806776506,-0.0673422219212434
2,140,2022-07-26,1,0,0.0944280531461995,0.0095821774414373,0,0.0,0.0,0.0,0.9326577780787566,0.9978534783803732,0.0095821774414373,-0.0673422219212434
2,141,2022-07-27,1,0,0.027588812497954,0.017293731123692924,0,0.0,0.0,0.0,0.9326577780787566,1.015110088136325,0.017293731123692924,-0.0673422219212434
2,142,2022-07-28,1,0,0.011661779111991,0.013505953826479233,0,0.0,0.0,0.0,0.9326577780787566,1.0288201181154875,0.013505953826479233,-0.0673422219212434
2,143,2022-07-29,1,0,0.0023207720898037,0.010595531668439406,0,0.0,0.0,0.0,0.9326577780787566,1.0397210142581077,0.010595531668439406,-0.0673422219212434
2,144,2022-08-01,1,0,0.0051430248161542,0.000311327663805816,0,0.0,0.0,0.0,0.9326577780787566,1.0400447081724864,0.000311327663805816,-0.0673422219212434
2,145,2022-08-02,1,0,0.0093165637320671,0.002461808358865669,0,0.0,0.0,0.0,0.9326577780787566,1.0426050989286595,0.002461808358865669,-0.0673422219212434
3,146,2022-08-03,0,1,0.7182243816334014,-0.0003537116074355806,1,1.0,0.001,-0.0013537116074355806,0.9313952284188063,1.042236317403197,-0.0003537116074355806,-0.06860477158119371
3,147,2022-08-04,1,1,0.754025291309286,0.0008917270739845495,1,0.0,0.0,0.0008917270739845495,0.9322257787605673,1.0431657077449155,0.0008917270739845495,-0.06777422123943266
